name,lat,lon,cname,slope,rating,par,holes,yardage
Tetherow Golf Club,44.026958,-121.36435,Tetherow Golf Club,141,74.8,72,18,7298 yards
The Alotian Club,34.860796,-92.57839,,-1,-1,72,18,7405 yards
The Bluffs on Thompson Creek,30.804624,-91.24906,The Bluffs Golf Resort,142,74.4,72,18,7005 yards
The Boulders Club(South),33.803251,-111.91823,,140,71.9,71,18,6726 yards
The Bridge,40.979433,-72.34049,Bridge Golf Course,146,77.6,72,18,7341 yards
The Broadmoor (East),38.784703,-104.84825,,139,72.7,72,18,7355 yards
The Bull at Pinehurst Farms,43.713304,-87.81299,Bull at Pinehurst Farms,147,76.3,72,18,7354 yards
The Challenge at Manele,20.741665,-156.903,Manele Golf Course,135,73.7,72,18,7039 yards
The Classic at Madden's Resort,46.379962,-94.35785,,148,75.5,72,18,7102 yards
The Concession,27.403387,-82.345279,The Concession Golf Club,155,77.6,72,18,7474 yards
The Country Club(Clyde_Squirrel),42.313333,-71.15083,,138,73.3,70,18,6740 yards
The Creek Club,40.890167,-73.596792,"Creek Club, The",133,71.7,70,18,6459 yards
The Dunes,41.815613,-86.71435,"Dunes Club, The",146,37.7,36,9,3524 yards
The Glen Club,42.087754,-87.82736,The Glen Club,140,74.8,72,18,7149 yards
The Golf Club,40.0695,-82.78,"Golf Club, The",140,75.3,72,18,7268 yards
The Golf Club at Black Rock,47.51143,-116.8702,The Club at Black Rock - Jim Engh Course,143,74.2,72,18,7130 yards
The Golf Club at Cuscowilla,33.412817,-83.25509,Golf Club at Cuscowilla,133,72.7,70,18,6730 yards
The Golf Club at Redlands Mesa,39.056358,-108.62112,The Golf Club At Redlands Mesa,137,72.7,72,18,7007 yards
The Golf Courses of Lawsonia(Links),43.828984,-89.01232,,130,73,72,18,6853 yards
The Greenbrier (Old White TPC),37.783509,-80.31688,Greenbrier - Old White TPC Course,141,75.7,70,18,7287 yards
The Harvester Golf Club,41.876433,-93.2105,The Harvester Golf Club,140,76,72,18,7365 yards
The Heritage Club,33.442135,-79.159785,"Heritage Club, The",138,74.9,71,18,7118 yards
The Highland Course at Primland Resort,36.662859,-80.42656,The Highland Course At Primland Resort,150,75.1,72,18,7053 yards
The Honors Course,35.0867,-85.044,"Honors Course, The",152,76.8,72,18,7400 yards
The Legend at Giants Ridge,47.581689,-92.30694,,138,74.3,72,18,6930 yards
The Links at Lighthouse Sound,38.40872,-75.10598,The Links At Lighthouse Sound,138,74.6,72,18,7031 yards
The Links at Spanish Bay,36.60939,-121.94561,"Links at Spanish Bay, The",140,74,72,18,6821 yards
The Links of North Dakota,48.1614,-103.045973,Links of North Dakota at Red Mike Resort,128,75.1,72,18,7092 yards
The Prairie Club (Dunes),42.726302,-100.79879,The Prairie Club - Dunes Course,133,74.2,73,18,7583 yards
The Prairie Club(Pines),42.729683,-100.79343,,135,75,73,18,7403 yards
The Preserve,36.4500112,-121.792,The Preserve Golf Club,140,75.1,72,18,7067 yards
The Prince at Princeville,22.211461,-159.46239,,140,76.2,72,18,7378 yards
The Quarry at Giants Ridge,47.541761,-92.2941,,146,75.6,72,18,7201 yards
The Quarry at La Quinta,33.624017,-116.27406,"Quarry, The",133,73.2,72,18,7083 yards
The Rim,34.24589,-111.279248,The Rim Golf Club,140,72.9,71,18,7193 yards
The Tribute,33.102046,-96.934967,The Tribute Golf Club - Old Course,128,73.2,72,18,7002 yards
Tidewater,33.85037,-78.624238,Tidewater Golf Club,144,74.3,72,18,7044 yards
Tiger's Eye,33.937113,-78.486194,Tiger's Eye Golf Links at Ocean Ridge Plantation,141,73.3,72,18,7014 yards
Tobacco Road Golf Club,35.397277,-79.21345,Tobacco Road Golf Club,144,71.7,71,18,6532 yards
Torrey Pines (South),32.9045,-117.245,South at Torrey Pines Municipal Golf Course,143,78.1,72,18,7628 yards
TPC Deere Run,41.475382,-90.39446,TPC Deere Run,144,75.8,71,18,7258 yards
TPC Louisiana,29.000098,-90.193224,,139,76.3,72,18,7399 yards
TPC Myrtle Beach,33.58383,-79.064134,TPC Myrtle Beach,144,74.1,72,18,6950 yards
TPC San Antonio(AT&T Oaks),29.664883,-98.39854,,148,76.5,72,18,7435 yards
TPC Sawgrass (Players Stadium),30.198,-81.39,TPC Sawgrass - THE PLAYERS Stadium Course,155,76.8,72,18,7215 yards
Tradition at Royal New Kent,37.475925,-77.012977,Royal New Kent Golf Club,147,76.5,72,18,7336 yards
Troon North Golf Club (Monument),33.746794,-111.85815,Monument at Troon North Golf Club,147,72.9,72,18,7070 yards
Troon North Golf Club (Pinnacle),33.744906,-111.85878,Pinnacle at Troon North Golf Club,149,73,72,18,7025 yards
True Blue,33.444022,-79.14619,True Blue,139,73.8,72,18,7126 yards
True North,45.513532,-84.988466,True North Golf Club,146,73.2,72,18,7040 yards
Trump International,26.667039,-80.09665,Trump International Golf Club,155,76.8,72,18,7326 yards
Trump National Bedminister (Old),40.6476,-74.6953,,151,76.8,72,18,7590 yards
Trump National Doral (Blue Monster),25.814225,-80.33799,Trump National Doral Miami - Blue Monster Course,146,77.4,72,18,7590 yards
Trump National Golf Club Los Angeles,33.729642,-118.34428,,146,75,72,18,7242 yards
Tullymore Golf Resort,43.564437,-85.32278,,150,76,72,18,7181 yards
Turtle Bay (Palmer),21.701624,-157.996903,Turtle Bay Resort - Arnold Palmer Course,143,74.4,72,18,7218 yards
Turtle Point,32.608405,-80.08198,Turtle Point at Kiawah Island Resort,140,73.8,72,18,7061 yards
Twin Warriors,35.354445,-106.54816,Twin Warriors Golf Club,130,75,72,18,7736 yards
Valhalla,38.242868,-85.47176,Valhalla Golf Club,148,76.4,72,18,7540 yards
Valley Club of Montecito,34.42969,-119.61085,Valley Club of Montecito,131,72.4,72,18,6603 yards
Ventana Canyon(Mountain),32.321891,-110.845733,,147,73,72,18,6898 yards
Victoria National,38.0008,-87.34623,Victoria National Golf Club,148,77,72,18,7239 yards
Wade Hampton,35.086795,-83.07125,Wade Hampton Golf Course,145,75,72,18,7302 yards
Wailea Golf Club(Gold),20.685727,-156.437,,138,74.5,72,18,7078 yards
Wannamoisett,41.846757,-71.359086,Wannamoisett Country Club,135,72.8,69,18,6732 yards
We-Ko-Pa Golf Club (Cholla),33.583401,-111.9277,,138,73.4,72,18,7225 yards
We-Ko-Pa Golf Club (Saguaro),33.58547,-111.8944,,137,72,72,18,6966 yards
WeaverRidge,40.748784,-89.652042,WeaverRidge Golf Club,136,73.1,72,18,7030 yards
Whispering Pines,30.944725,-95.25018,Whispering Pines Golf Club,152,77.3,72,18,7473 yards
Whistling Straits (Straits),43.851,-87.73,Straits Golf Course at Whistling Straits,152,77.2,72,18,7790 yards
Whistling Straits Golf Club (Irish),43.8478,-87.7352,,146,75.6,72,18,7201 yards
Wild Dunes (Links),32.81396,-79.725195,Links at Wild Dunes Golf Links,131,73.2,72,18,6709 yards
Wild Horse Golf Club,40.955678,-100.19374,Wild Horse Golf Course,134,73.6,72,18,6955 yards
Wilderness at Fortune Bay,47.82772,-92.30769,The Wilderness At Fortune Bay,142,75.3,72,18,7207 yards
Wilderness Club,48.931177,-115.13132,Wilderness Club,137,74,72,18,7207 yards
Wilmington (South),39.795404,-75.595892,South at Wilmington Country Club,139,76,71,18,7334 yards
Winged Foot (East),40.9625,-73.75361,East at Winged Foot Golf Club,141,73.9,72,18,6792 yards
Winged Foot (West),40.9625,-73.75361,West at Winged Foot Golf Club,141,75.7,72,18,7258 yards
Wolf Creek Golf Club,36.831763,-114.06051,Wolf Creek Golf Club,154,75.4,72,18,6939 yards
World Woods (Pine Barrens),28.68371,-82.47934,Pine Barrens at World Woods Golf Club,133,75.3,71,18,7259 yards
Wynn Las Vegas,36.126058,-115.16066,The Wynn Golf and Country Club,124,73.9,70,18,7042 yards
Yale University,41.3194,-72.986,"Course at Yale, The",132,72.9,70,18,6749 yards
Yeamans Hall,32.925223,-79.98476,Yeamans Hall Country Club,132,72.3,70,18,6725 yards
